,Best Actor,Best Actress,Best Director,Best Musical,Best Revival,Name,total,Weeks
0,0,0,0,0,0,13,0,2.6390573296152584
1,0,0,0,0,0,9 To 5,0,3.091042453358316
2,0,0,0,0,0,A Catered Affair,0,
3,0,0,0,0,0,A Chorus Line '06,0,3.4965075614664802
4,0,0,0,0,0,A Christmas Story,0,1.9459101490553132
5,0,0,0,0,0,A Gentleman's Guide To Love And Murder,0,
6,0,1,0,0,0,A Little Night Music,1,4.02535169073515
7,0,0,0,0,0,A Night With Janis Joplin,0,3.044522437723423
8,0,0,0,0,0,A Tale Of Two Cities,0,2.4849066497880004
9,0,0,0,0,0,After Midnight,0,3.6109179126442243
10,0,0,0,0,0,Aladdin,0,4.859812404361672
11,0,0,0,0,0,All About Me,0,
12,0,0,0,0,0,Allegiance,0,2.9444389791664403
13,0,0,0,0,0,Amazing Grace,0,2.8903717578961645
14,0,0,0,0,0,American Idiot,0,4.04305126783455
15,0,0,0,0,0,American Psycho,0,2.3978952727983707
16,0,0,0,0,0,An American In Paris,0,4.31748811353631
17,0,0,0,0,0,Annie '12,0,4.189654742026425
18,0,1,0,0,1,Anything Goes,2,
19,0,0,0,1,0,Avenue Q,1,4.48863636973214
20,0,0,0,0,0,Baby It'S You!,0,3.1780538303479458
21,0,1,0,0,0,Beautiful: The Carole King Musical,1,4.962844630259907
22,0,0,0,0,0,Big Fish,0,2.833213344056216
23,0,0,0,0,0,Billy Elliot: The Musical,0,5.14166355650266
24,0,0,0,0,0,Bloody Bloody Andrew Jackson,0,2.70805020110221
25,0,0,0,0,0,Bonnie And Clyde,0,2.1972245773362196
26,0,0,0,0,0,Bright Star,0,2.8903717578961645
27,0,0,0,0,0,Bring It On The Musical,0,3.2188758248682006
28,0,0,0,0,0,Bullets Over Broadway,0,3.1780538303479458
29,0,0,0,0,0,Burn The Floor,0,3.2188758248682006
30,0,0,0,0,0,Bye Bye Birdie,0,2.995732273553991
31,1,1,0,0,1,Cabaret,3,
32,1,0,0,0,0,Catch Me If You Can,1,3.258096538021482
33,0,0,0,0,0,Cats 2016,0,1.6094379124341003
34,0,0,0,0,0,Chaplin,0,2.995732273553991
35,1,1,1,0,1,Chicago,4,6.1092475827643655
36,0,0,0,0,0,Cinderella,0,4.624972813284271
37,0,0,0,0,0,Come Fly Away,0,3.295836866004329
38,0,0,0,0,0,Cry Baby,0,2.70805020110221
39,1,0,0,0,0,Curtains,1,3.258096538021482
40,0,0,0,0,0,Dames At Sea,0,2.70805020110221
41,0,0,0,0,0,Disaster!,0,2.5649493574615367
42,0,0,0,0,0,Doctor Zhivago,0,1.9459101490553132
43,0,0,0,0,0,Dr. Seuss' How The Grinch Stole Christmas! 07,0,
44,0,0,0,0,0,Elf,0,2.1972245773362196
45,0,0,0,0,0,Elf '12,0,2.1972245773362196
46,0,0,0,0,0,Everyday Rapture,0,2.4849066497880004
47,0,0,0,0,0,Evita,0,3.828641396489095
48,0,0,0,0,0,Fela!,0,
49,0,0,0,0,0,Fiddler On The Roof 2015,0,3.6635616461296463
50,0,0,0,0,0,Finding Neverland,0,4.31748811353631
